Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Year,Month,Day,Weekday Name,Revenue Per Unit,Gender Code,High Value,Customer Age Group,Season ,Quarter,Year-Month,,,,,,,Sales Performance,
1,24-11-2023,CUST001,Male,34,Beauty,3,50,150,2023,November,24,Friday,50,1,No,31-45,Autumn,4,2023-11,,,,,,,,
2,27-02-2023,CUST002,Female,26,Clothing,2,500,1000,2023,February,27,Monday,500,0,No,18-30,Winter,1,2023-02,,,,,,,1. What is the total sales revenue?,
3,13-01-2023,CUST003,Male,50,Electronics,1,30,30,2023,January,13,Friday,30,1,No,46+,Winter,1,2023-01,,,,,,,,
4,21-05-2023,CUST004,Male,37,Clothing,1,500,500,2023,May,21,Sunday,500,1,No,31-45,Summer,2,2023-05,,,,,,,2. Which product category generated the highest sales?,
5,06-05-2023,CUST005,Male,30,Beauty,2,50,100,2023,May,6,Saturday,50,1,No,18-30,Summer,2,2023-05,,,,,,,,
6,25-04-2023,CUST006,Female,45,Beauty,1,30,30,2023,April,25,Tuesday,30,0,No,31-45,Summer,2,2023-04,,,,,,,3. What is the average order value (AOV)?,
7,13-03-2023,CUST007,Male,46,Clothing,2,25,50,2023,March,13,Monday,25,1,No,46+,Summer,1,2023-03,,,,,,,,
8,22-02-2023,CUST008,Male,30,Electronics,4,25,100,2023,February,22,Wednesday,25,1,No,18-30,Winter,1,2023-02,,,,,,,"4. Which day, month, or quarter had the highest sales?",
9,13-12-2023,CUST009,Male,63,Electronics,2,300,600,2023,December,13,Wednesday,300,1,No,46+,Winter,4,2023-12,,,,,,,,
10,07-10-2023,CUST010,Female,52,Clothing,4,50,200,2023,October,7,Saturday,50,0,No,46+,Autumn,4,2023-10,,,,,,,"5. What is the trend of total sales over time? (daily, monthly, etc.)",
11,14-02-2023,CUST011,Male,23,Clothing,2,50,100,2023,February,14,Tuesday,50,1,No,18-30,Winter,1,2023-02,,,,,,,,
12,30-10-2023,CUST012,Male,35,Beauty,3,25,75,2023,October,30,Monday,25,1,No,31-45,Autumn,4,2023-10,,,,,,,Customer Analysis,
13,05-08-2023,CUST013,Male,22,Electronics,3,500,1500,2023,August,5,Saturday,500,1,Yes,18-30,Monsoon,3,2023-08,,,,,,,,
14,17-01-2023,CUST014,Male,64,Clothing,4,30,120,2023,January,17,Tuesday,30,1,No,46+,Winter,1,2023-01,,,,,,,6. How many unique customers made purchases?,
15,16-01-2023,CUST015,Female,42,Electronics,4,500,2000,2023,January,16,Monday,500,0,Yes,31-45,Winter,1,2023-01,,,,,,,,
16,17-02-2023,CUST016,Male,19,Clothing,3,500,1500,2023,February,17,Friday,500,1,Yes,18-30,Winter,1,2023-02,,,,,,,7. Who are the top 10 customers by total spend?,
17,22-04-2023,CUST017,Female,27,Clothing,4,25,100,2023,April,22,Saturday,25,0,No,18-30,Summer,2,2023-04,,,,,,,,
18,30-04-2023,CUST018,Female,47,Electronics,2,25,50,2023,April,30,Sunday,25,0,No,46+,Summer,2,2023-04,,,,,,,8. What is the gender-wise distribution of customers?,
19,16-09-2023,CUST019,Female,62,Clothing,2,25,50,2023,September,16,Saturday,25,0,No,46+,Monsoon,3,2023-09,,,,,,,,
20,05-11-2023,CUST020,Male,22,Clothing,3,300,900,2023,November,5,Sunday,300,1,No,18-30,Autumn,4,2023-11,,,,,,,9. Is there a pattern in purchasing behavior by age group?,
21,14-01-2023,CUST021,Female,50,Beauty,1,500,500,2023,January,14,Saturday,500,0,No,46+,Winter,1,2023-01,,,,,,,,
22,15-10-2023,CUST022,Male,18,Clothing,2,50,100,2023,October,15,Sunday,50,1,No,18-30,Autumn,4,2023-10,,,,,,,10. Do males or females spend more on average?,
23,12-04-2023,CUST023,Female,35,Clothing,4,30,120,2023,April,12,Wednesday,30,0,No,31-45,Summer,2,2023-04,,,,,,,,
